name,address,webpage,classification
Islamic Multi Service Organization ," 722 Shawmut Avenue Roxbury, MA0211",https://imsoboston.org/index.html,Food Kitchen
ICNA Relief - Boston ," 1234 Columbus Ave Boston, MA0212",https://www.icnarelief.org/newengland2/,Food Kitchen
 Homeless services Boston ," 1234 Columbus Ave Boston, MA0212",https://www.boston.gov/departments/housing/services-those-experiencing-homeless,Food Kitchen
 CWS/Timothy Baptist Church ," 35 Highland St Boston, MA0211",http://www.timothybaptistchurchma.com/,Food Kitchen
 Pine Street Inn/Meals ," 444 Harrison Ave. Boston, MA0211",https://secure2.convio.net/psi/site/TR;jsessionid=00000000.app20114a?fr_id=1110&pg=entry&NONCE_TOKEN=061F4B1F11D099C10B757F094CF21B57,Food Kitchen
Omega Men in Action ," 32-34 Linwood Street Roxbury, MA0211",https://www.facebook.com/p/Omega-Men-in-Action-Inc-100090775141033/,Food Kitchen
Rosie's Place Food Pantry ," 889 Harrison Ave at the outside window Boston, MA0211",https://www.rosiesplace.org/how-we-help/emergency-support/food-programs,Food Kitchen
 Brookline Emergency Food Pantry ," 226 High Street Community Room Brookline, MA0244",http://brooklinefoodpantry.org/,Food Kitchen
"GBCN/Malden Haitian Church, Nazarene FP "," 12 Thacher Street Malden, MA0214",https://www.facebook.com/maldennazarene/,Food Kitchen
 Boston Medical Center Food Pantry ," 850 Harrison Ave Yawkey Building Basement Boston, MA0211",https://www.bmc.org/nourishing-our-community/preventive-food-pantry,Food Kitchen
Boston Children's Hospital/Family Food Connections ," 30 Bickford St Jamaica Plain, MA0213",https://www.childrenshospital.org/community-health/family-food-connections,Food Kitchen
CWS/United Baptist Church ," 322 Centre St Boston, MA0213",https://wezeradio.com/churchdirectory/details/142599,Food Kitchen
 Resurrection Lutheran Church ," 94 Warren St. Roxbury, MA0211",https://peopleofresrox.org/,Food Kitchen
Chelsea Jewish Foundation Food Pantry ," 165 Captains Row Chelsea, MA0215",https://www.foodhelpline.org/directory/resources/cm44intcl00vdqh8zwxdbofi4,Food Kitchen
 GGWO/Grace Ministries ," 50 Church St. Everett, MA0214",https://ggwo.org/,Food Kitchen
 Great Commission Food Pantry ," 500 Broadway Everett, MA0214",https://mvfb.org/agencies/great-commission-baptist-church-food-pantry/,Food Kitchen
Holy Redeemer Church/Our Daily Bread Pty ," 56 Havre Street East Boston, MA0212",https://www.homelessshelterdirectory.org/shelter/ma_holy-redeemer-churchour-daily-bread-pty,Food Kitchen
 Twelfth Baptist Church Food Pantry ," 160 Warren St. Roxbury, MA0211",https://tbcboston.org/food-pantry-ministry/,Food Kitchen
TBU DBA Outreach Van Project ," Central Square Park 197 Border St East Boston, MA0212",https://www.bumc.bu.edu/camed/student-affairs/student-life/service-learning/outreach-van-project-2/,Food Kitchen
FFF/East Boston Community Soup Kitchen ," 28 Paris St East Boston, MA0212",https://ebcsk.org/,Food Kitchen
"Boston Missionary Baptist Community Center, Inc "," 336 Dudley St Roxbury, MA0211",https://www.bmbcc.org/,Food Kitchen
YMCA Boston/BCYF Paris St ," 112 Paris St East Boston, MA0212",https://www.boston.gov/departments/boston-centers-youth-families/bcyf-paris-street,Food Kitchen
 FFF/Central Assembly of God ," 50 Bennington St East Boston, MA0212",https://www.bostonccc.org/formerly-central-assembly-of-god-church.html,Food Kitchen
